dataset,profile,method,method_label,mean,std,min,max,count
mscoco,all_average,ours_kernel_ridge_student,Ours-online-KRR,49.0,1.7320508075688772,47,50,3
mscoco,all_average,ours_krr_influence_only,Ours-online-KRR-no-loss,35.666666666666664,14.011899704655804,20,47,3
mscoco,all_average,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,47.666666666666664,4.04145188432738,43,50,3
mscoco,all_average,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
mscoco,all_average,ours_sample_package_direct,Teacher-pkg-direct,50.0,0.0,50,50,3
mscoco,all_average,ours_sample_package_influence_only,Teacher-pkg-no-loss,46.666666666666664,4.932882862316248,41,50,3
mscoco,all_average,ours_sample_package_krr,Ours-online-pkg-KRR,48.333333333333336,2.88675134594813,45,50,3
mscoco,all_average,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,35.666666666666664,17.925772879665004,15,47,3
mscoco,all_average,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,43.0,11.269427669584644,30,50,3
mscoco,all_average,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,49.666666666666664,0.5773502691896247,49,50,3
mscoco,all_average,ours_sample_package_task_operator,Ours-online-pkg-task,31.666666666666668,20.502032419575706,8,44,3
mscoco,all_average,ours_task_operator,Ours-online-task,30.0,17.52141546793523,12,47,3
mscoco,coreset_far_wrong,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
mscoco,coreset_far_wrong,ours_influence_only,Teacher-no-loss,37.666666666666664,17.09775813764288,18,49,3
mscoco,coreset_far_wrong,ours_kernel_ridge_student,Ours-online-KRR,49.666666666666664,0.5773502691896263,49,50,3
mscoco,coreset_far_wrong,ours_krr_influence_only,Ours-online-KRR-no-loss,41.0,13.892443989449804,25,50,3
mscoco,coreset_far_wrong,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,48.666666666666664,2.309401076758502,46,50,3
mscoco,coreset_far_wrong,ours_loss_reduction_only,Teacher-no-influence,49.333333333333336,1.1547005383792526,48,50,3
mscoco,coreset_far_wrong,ours_sample_package_direct,Teacher-pkg-direct,49.333333333333336,0.5773502691896263,49,50,3
mscoco,coreset_far_wrong,ours_sample_package_influence_only,Teacher-pkg-no-loss,41.0,7.810249675906654,32,46,3
mscoco,coreset_far_wrong,ours_sample_package_krr,Ours-online-pkg-KRR,49.333333333333336,0.5773502691896263,49,50,3
mscoco,coreset_far_wrong,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,40.333333333333336,9.291573243177568,30,48,3
mscoco,coreset_far_wrong,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,47.666666666666664,4.04145188432738,43,50,3
mscoco,coreset_far_wrong,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,49.333333333333336,0.5773502691896263,49,50,3
mscoco,coreset_far_wrong,ours_sample_package_task_operator,Ours-online-pkg-task,25.333333333333332,19.139836293274122,5,43,3
mscoco,coreset_far_wrong,ours_task_operator,Ours-online-task,19.0,22.869193252058544,2,45,3
mscoco,cosine,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
mscoco,cosine,ours_influence_only,Teacher-no-loss,19.0,21.633307652783937,1,43,3
mscoco,cosine,ours_kernel_ridge_student,Ours-online-KRR,45.666666666666664,6.658328118479392,38,50,3
mscoco,cosine,ours_krr_influence_only,Ours-online-KRR-no-loss,15.0,20.223748416156685,0,38,3
mscoco,cosine,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,45.0,8.660254037844387,35,50,3
mscoco,cosine,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
mscoco,cosine,ours_sample_package_direct,Teacher-pkg-direct,49.333333333333336,0.5773502691896263,49,50,3
mscoco,cosine,ours_sample_package_influence_only,Teacher-pkg-no-loss,27.666666666666668,16.289055630494154,9,39,3
mscoco,cosine,ours_sample_package_krr,Ours-online-pkg-KRR,42.333333333333336,13.279056191361393,27,50,3
mscoco,cosine,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,22.666666666666668,15.37313674346694,5,33,3
mscoco,cosine,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,43.0,12.12435565298214,29,50,3
mscoco,cosine,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,49.333333333333336,0.5773502691896263,49,50,3
mscoco,cosine,ours_sample_package_task_operator,Ours-online-pkg-task,14.333333333333334,16.65332799572906,1,33,3
mscoco,cosine,ours_task_operator,Ours-online-task,11.666666666666666,18.475208614068027,1,33,3
mscoco,kmeans_center,ours_downstream_direct,Teacher-direct,48.666666666666664,2.309401076758502,46,50,3
